country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
EH,VIC,Ad Dakhla,Ad Dakhla,,RL,--3-----,,23.7,-15.933333333333334
EH,EAI,Ejbei Uad el Aabd,Ejbei Uad el Aabd,,RL,1-3-----,,27.15,-13.2
