country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
RS,S3L,Selenca,Selenca,VO,RL,--3-----,,45.4,19.283333333333335
RS,SEN,Senta,Senta,,RL,-23-----,,45.916666666666664,20.066666666666666
RS,SEV,Sevojno,Sevojno,,RL,-23-----,,43.833333333333336,19.883333333333333
RS,SID,Sid,Sid,,RL,-23-----,,45.11666666666667,19.216666666666665
RS,SIM,Simanovci,Simanovci,VO,RL,--3-----,,44.86666666666667,20.083333333333332
RS,SCV,Simicevo,Simicevo,11,RL,--3-----,,44.38333333333333,21.2
RS,SRG,Sirig,Sirig,,RL,--3-----,,45.43333333333333,19.8
RS,SIR,Sirogojno,Sirogojno,08,RL,--3-----,,43.68333333333333,19.883333333333333
RS,SMO,Smederevo,Smederevo,,RL,-23-----,,44.65,20.916666666666668
RS,SZE,Smederevska Palanka,Smederevska Palanka,10,RL,-----6--,,44.35,20.95
RS,SOM,Sombor,Sombor,,RL,-23-----,,45.766666666666666,19.1
RS,SCA,Sremcica,Sremcica,,RL,--3-----,,44.666666666666664,20.383333333333333
RS,SRM,Sremska Mitrovica,Sremska Mitrovica,,RL,-23-----,,44.96666666666667,19.6
RS,SKA,Sremski Karlovci,Sremski Karlovci,,RL,123-----,,45.2,19.933333333333334
RS,SPA,Stara Pazova,Stara Pazova,,RL,-23-----,,44.983333333333334,20.15
RS,STZ,Strezimirovci,Strezimirovci,,RL,--3-----,,42.78333333333333,22.433333333333334
RS,SUB,Subotica,Subotica,01,RL,-23-----,,46.1,19.666666666666668
RS,SOT,Subotiste,Subotiste,07,RL,--3-----,,44.833333333333336,19.95
RS,SCN,Surcin,Surcin,,RL,-----6--,,44.8,20.283333333333335
RS,SUR,Surdulica,Surdulica,24,RL,--3-----,,42.68333333333333,22.166666666666668
RS,SNC,Svilajnac,Svilajnac,,RL,--3-----,,44.233333333333334,21.166666666666668
RS,SVR,Svrljig,Svrljig,20,RL,--3-----,,43.416666666666664,22.116666666666667
RS,TEM,Temerin,Temerin,VO,RL,--3-----,,45.4,19.883333333333333
RS,TPP,Topola,Topola,12,RL,--3-----,,44.833333333333336,20.65
RS,TJV,Tresnjevac,Tresnjevac,,RL,--3-----,,44.083333333333336,18.9
