country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BR,FSO,Felisburgo,Felisburgo,MG,AA,--3-----,,-16.633333333333333,-40.75
BR,FND,Felixl�ndia,Felixlandia,MG,AA,--3-----,,-18.75,-44.88333333333333
BR,FEZ,Feliz,Feliz,RS,AA,--3-----,,-29.45,-51.3
BR,FDR,Feliz Deserto,Feliz Deserto,AL,AA,--3-----,,-10.283333333333333,-36.3
BR,FNL,Feliz Natal,Feliz Natal,MT,AA,--3-----,,-12.366666666666667,-54.93333333333333
BR,FEX,F�nix,Fenix,PR,AA,--3-----,,-23.916666666666668,-51.983333333333334
BR,FPR,Fernandes Pinheiro,Fernandes Pinheiro,PR,AA,--3-----,,-25.4,-50.53333333333333
BR,FTH,Fernandes Tourinho,Fernandes Tourinho,MG,AA,--3-----,,-19.15,-42.06666666666667
BR,FEN,Fernando de Noronha,Fernando de Noronha,PE,AA,1--4----,,-3.85,-32.43333333333333
BR,FFO,Fernando Falc�o,Fernando Falcao,MA,AA,--3-----,,-6.15,-44.9
BR,FPZ,Fernando Pedroza,Fernando Pedroza,RN,AA,--3-----,,-5.683333333333334,-36.516666666666666
BR,FPE,Fernando Prestes,Fernando Prestes,SP,AA,--3-----,,-21.266666666666666,-48.68333333333333
BR,FPO,Fernand�polis,Fernandopolis,SP,AA,-234----,,-20.266666666666666,-50.233333333333334
BR,FEW,Fern�o,Fernao,SP,AA,--3-----,,-22.35,-49.516666666666666
BR,FVA,Ferraz de Vasconcelos,Ferraz de Vasconcelos,SP,AA,--3-----,,-23.533333333333335,-46.35
BR,FGM,Ferreira Gomes,Ferreira Gomes,AP,AA,--3-----,,0.85,-51.18333333333333
BR,FOS,Ferreiros,Ferreiros,PE,AA,--3-----,,-7.433333333333334,-35.233333333333334
BR,FER,Ferros,Ferros,MG,AA,--3-----,,-19.233333333333334,-43.016666666666666
BR,FEO,Fervedouro,Fervedouro,MG,AA,--3-----,,-20.716666666666665,-42.266666666666666
BR,FGU,Figueira,Figueira,PR,AA,--3-----,,-23.833333333333332,-50.4
BR,FUR,Figueir�o,Figueirao,MS,AA,--3-----,,-18.666666666666668,-53.63333333333333
BR,FUS,Figueir�polis,Figueiropolis,TO,AA,--3-----,,-12.133333333333333,-49.166666666666664
BR,FOE,Figueir�polis D'Oeste,Figueiropolis D'Oeste,MT,AA,--3-----,,-15.433333333333334,-58.733333333333334
BR,FFA,Filad�lfia,Filadelfia,TO,AA,--3-----,,-7.333333333333333,-47.483333333333334
BR,FIA,Filad�lfia,Filadelfia,BA,AA,--3-----,,-10.733333333333333,-40.13333333333333
BR,FAV,Firmino Alves,Firmino Alves,BA,AA,--3-----,,-14.983333333333333,-39.916666666666664
BR,FIS,Firmin�polis,Firminopolis,GO,AA,--3-----,,-16.566666666666666,-50.3
BR,FES,Flexeiras,Flexeiras,AL,AA,--3-----,,-9.266666666666667,-35.71666666666667
BR,FOL,Flor da Serra do Sul,Flor da Serra do Sul,PR,AA,--3-----,,-26.25,-53.3
BR,FSR,Flor do Sert�o,Flor do Sertao,SC,AA,--3-----,,-26.766666666666666,-53.333333333333336
BR,FCA,Flora Rica,Flora Rica,SP,AA,--3-----,,-21.666666666666668,-51.36666666666667
BR,FOI,Flora�,Florai,PR,AA,--3-----,,-23.316666666666666,-52.3
BR,FLI,Flor�nia,Florania,RN,AA,--3-----,,-6.116666666666666,-36.8
BR,FEL,Floreal,Floreal,SP,AA,--3-----,,-20.666666666666668,-50.13333333333333
BR,FLS,Flores,Flores,PE,AA,--3-----,,-7.85,-37.96666666666667
BR,FCU,Flores da Cunha,Flores da Cunha,RS,AA,--3-----,,-29.016666666666666,-51.166666666666664
BR,FDG,Flores de Goi�s,Flores de Goias,GO,AA,--3-----,,-14.45,-47.03333333333333
BR,FPU,Flores do Piau�,Flores do Piaui,PI,AA,--3-----,,-7.783333333333333,-42.916666666666664
BR,FLA,Floresta,Floresta,PE,AA,--3-----,,-8.6,-38.56666666666667
BR,FLT,Floresta,Floresta,PR,AA,--3-----,,-23.6,-52.06666666666667
BR,FAU,Floresta Azul,Floresta Azul,BA,AA,--3-----,,-14.85,-39.65
BR,FAA,Floresta do Araguaia,Floresta do Araguaia,PA,AA,--3-----,,-7.55,-49.68333333333333
BR,FOP,Floresta do Piau�,Floresta do Piaui,PI,AA,--3-----,,-7.466666666666667,-41.8
BR,FLL,Florestal,Florestal,MG,AA,--3-----,,-19.883333333333333,-44.416666666666664
BR,FLP,Florest�polis,Florestopolis,PR,AA,--3-----,,-22.85,-51.38333333333333
BR,FLO,Floriano,Floriano,PI,AA,--34----,,-6.766666666666667,-43.016666666666666
BR,FPT,Floriano Peixoto,Floriano Peixoto,RS,AA,--3-----,,-27.85,-52.083333333333336
BR,FLN,Florian�polis,Florianopolis,SC,AA,--34----,,-27.583333333333332,-48.53333333333333
BR,FLD,Fl�rida,Florida,PR,AA,--3-----,,-23.083333333333332,-51.95
BR,FPS,Fl�rida Paulista,Florida Paulista,SP,AA,--3-----,,-21.6,-51.166666666666664
BR,FLE,Flor�nea,Florinea,SP,AA,--3-----,,-22.9,-50.71666666666667
BR,FLU,Fluminense FPSO,Fluminense FPSO,RJ,AA,------7-,,-22.633333333333333,-40.416666666666664
BR,FBA,Fonte Boa,Fonte Boa,AM,AA,1-3-----,,-2.5,-66.08333333333333
BR,FXR,Fontoura Xavier,Fontoura Xavier,RS,AA,--3-----,,-28.966666666666665,-52.333333333333336
