country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
CX,XCH,Christmas Island,Christmas Island,,AI,---45---,,,
CX,FFC,Flying Fish Cove,Flying Fish Cove,,RL,1-------,,-10.416666666666666,105.71666666666667
